;en;en-US;BLACK FRIDAY;UP TO 40% OFF;SEE OFFERS;Save up to $100;+ FREE Ground Shipping – Hurry! Limited-Time Offer.;Save up to $70;Save up to $200;Save 40%;Save 40%;Save 40%
;en;en-CA;BLACK FRIDAY;UP TO 40% OFF;SEE OFFERS;Save up to CA$ 120;+ FREE Ground Shipping – Hurry! Limited-Time Offer.;Save up to CA$ 80;Save up to CA$ 260;Save 40%;Save 40%;Save 40%
;en;en-GB;BLACK FRIDAY;UP TO 40% OFF;SEE OFFERS;Save up to 15%;November Savings Event – Hurry! Limited-Time Offer.;Save up to 20%;Save up to 40%;Save up to 40%;Save up to 40%;Save 40%
;en;en-AU;BLACK FRIDAY;UP TO 40% OFF;SEE OFFERS;Save up to 15%;November Savings Event – Hurry! Limited-Time Offer.;Save up to 20%;Save up to 40%;Save up to 40%;Save up to 40%;Save 40%
;en;en-NZ;BLACK FRIDAY;UP TO 40% OFF;SEE OFFERS;Save up to 15%;November Savings Event – Hurry! Limited-Time Offer.;Save up to 20%;Save up to 40%;Save up to 40%;Save up to 40%;Save 40%
;de;de-DE;BLACK FRIDAY;BIS ZU 40% RABATT;ANGEBOTE ANZEIGEN;Sparen Sie bis zu 15 %;Unsere Novemberangebote – Nicht verpassen! Befristetes Angebot;Sparen Sie bis zu 20 %;;Sparen Sie bis zu 40 %;Sparen Sie bis zu 40 %;Sparen Sie 40 %
;fr;fr-FR;BLACK FRIDAY;JUSQU'À 40% DE REMISE;CONSULTER LES OFFRES;Jusqu'à 15 % de remise;Promo de novembre – Ne tardez pas ! Offre à durée limitée.;Jusqu'à 20 % de remise;;Jusqu'à 40 % de remise;Jusqu'à 40 % de remise;
;it;it-IT;BLACK FRIDAY;FINO AL 40% DI SCONTO;SCOPRI LE OFFERTE;Risparmia fino al 15%;Evento sconti di novembre – Presto! Offerta a tempo limitato.;;;Risparmia fino al 40%;Risparmia fino al 40%;
;nl;nl-NL;BLACK FRIDAY;TOT 40% KORTING;AANBIEDINGEN BEKIJKEN;Bespaar tot 15%;Novemberkortingen, maar wees snel: beperkt geldig!;;;Bespaar tot 40%;Bespaar tot 40%;
;jp;ja-JP;ブラックフライデー;最大 40% オフ;キャンペーンの詳細;最大で 15% お得;プレクリスマス セール — お急ぎください。期間限定です！;最大で 20% お得;;最大で 35% OFF;最大で 35% OFF;
;es;es-ES;BLACK FRIDAY;HASTA 40% DE DESCUENTO;VER OFERTAS;;;;;;;
