de-DE;ESDPSP2019ULML;201220;PSP_2018_ULT;89,99;69,99;;20 %;-22%;($20)
de-DE;ESDPSP2019ULMUG;201221;PSP_2018_ULT;69,99;54,99;;20 %;-21%;($15)
en-AU;ESDPSP2019ULML;201220;PSP_2018_ULT;129;103;;20%;-20%;($26)
en-AU;ESDPSP2019ULMUG;201221;PSP_2018_ULT;89;71;;20%;-20%;($18)
en-CA;ESDPSP2019ULML;201220;PSP_2018_ULT;99.99;79.99;;20%;-20%;($20)
en-CA;ESDPSP2019ULMUG;201221;PSP_2018_ULT;79.99;63.99;;20%;-20%;($16)
en-GB;ESDPSP2019ULML;201220;PSP_2018_ULT;89.99;69.99;;20%;-22%;($20)
en-GB;ESDPSP2019ULMUG;201221;PSP_2018_ULT;69.99;54.99;;20%;-21%;($15)
en-IE;ESDPSP2019ULML;201220;PSP_2018_ULT;89.99;69.99;;20%;-22%;($20)
en-IE;ESDPSP2019ULMUG;201221;PSP_2018_ULT;69.99;54.99;;20%;-21%;($15)
en-US;ESDPSP2019ULML;201220;PSP_2018_ULT;99.99;79.99;;20%;-20%;($20)
en-US;ESDPSP2019ULMUG;201221;PSP_2018_ULT;79.99;63.99;;20%;-20%;($16)
es-MX;ESDPSP2019ULML;201220;PSP_2018_ULT;1,349;1,079;;20%;-20%;($270)
es-MX;ESDPSP2019ULMUG;201221;PSP_2018_ULT;999;799;;20%;-20%;($200)
fr-FR;ESDPSP2019ULML;201220;PSP_2018_ULT;89,99;69,99;;20 %;-22%;($20)
fr-FR;ESDPSP2019ULMUG;201221;PSP_2018_ULT;69,99;54,99;;20 %;-21%;($15)
ja-JP;ESDPSP2019ULML;201220;PSP_2018_ULT;13,824;11,059;;20%;-20%;($2,765)
ja-JP;ESDPSP2019ULMUG;201221;PSP_2018_ULT;9,504;7,603;;20%;-20%;($1,901)
pt-BR;ESDPSP2019ULML;201220;PSP_2018_ULT;199;159;;20%;-20%;($40)
pt-BR;ESDPSP2019ULMUG;201221;PSP_2018_ULT;159;127;;20%;-20%;($32)
